Dataset Name,Domain,Source,Country,Data Type,Access Level,Link,Use Cases,Last Updated,Challenges/Notes
Common Voice (African Languages),NLP,Mozilla,Africa-wide,Audio,Open Access (CC0 – Public Domain),https://www.mozillafoundation.org/en/common-voice/,"Speech recognition, voice assistants",2024,Requires cleaning for production use
KenSwQuAD: Swahili QA Dataset,NLP,Barack W. Wanjawa et al.,Kenya,Text,Public (Via arXiv),https://arxiv.org/abs/2205.02364,"Question answering systems, NLP research",2022,Limited to Swahili; dataset size may be small
FLORES+,NLP,Facebook AI /Meta,Africa-wide,Text,Open Access (CC BY-SA 4.0),https://huggingface.co/datasets/openlanguagedata/flores_plus,Evaluating multilingual MT systems,2024,Used in Masakhane benchmarking; supports low-resource settings
Financial Inclusion Speech Dataset,NLP,Ashesi University (Ghana),Ghana,"Audio, Text",Open Access (CC BY 4.0),https://github.com/Ashesi-Org/Financial-Inclusion-Speech-Dataset,"Train Automatic Speech Recognition (ASR) models for Ghanaian languages in financial contexts
- Develop voice-based financial chatbots and voice-USSD interfaces for mobile money services
- Build Text-to-Speech (TTS) systems to deliver financial information via voice
- Create language models for financial NLP in low-resource African languages
- Research on digital financial inclusion barriers and language use in underserved communities",2024,"Dataset size is likely modest (tens of hours) — may require augmentation for robust ASR
- Transcriptions may vary in quality or standardization"
Afri Code Datasets (A collection of datasets for code generation in African languages),NLP,michsethowusu - Curator on Hugging Face,Africa-wide,Text,Apache 2.0,https://huggingface.co/collections/michsethowusu/afri-code-datasets,"Training and evaluating Large Language Models (LLMs) for code generation, building AI-powered coding assistants that understand African languages, research in low-resource NLP, improving developer productivity for non-English speakers.",2023,"This is a collection, not a single dataset, so users must navigate to individual datasets for use. The primary challenge it addresses is the extreme scarcity of parallel code-text data for low-resource African languages. The quality, size, and language coverage may vary significantly between the individual datasets in the collection."
BIG-C: Bemba Image Grounded Conversations,NLP,"University of Zambia (Claytone Sikasote, Eunice Mukonde) + George Mason University (Antonios Anastasopoulos)",Zambia ,Mixed Formats,Open Access (CC BY-ND 4.0),https://github.com/csikasote/bigc,"Training ASR (Automatic Speech Recognition) for Bemba
- Building MT (Machine Translation) from Bemba → English",2023,"Language-specific: Bemba has no prior large-scale digital resources
- Audio quality varies (field recordings)"
"Kallaama: A Transcribed Speech Dataset about Agriculture in Wolof, Pulaar, and Sereer",NLP,Jokalante SARL,Senegal,Mixed Formats,Open Access (CC BY 4.0),https://github.com/gauthelo/kallaama-speech-dataset,"Train Automatic Speech Recognition (ASR) models for Senegalese languages
- Build Text-to-Speech (TTS) systems for digital inclusion",2024,Dataset focused on agricultural domain
Tanzil Quran Translation Corpus,NLP,"(Dakar, Senegal)",Africa-wide,Text,Open Access (CC BY 4.0),https://opus.nlpl.eu/Tanzil/corpus/version/Tanzil,"Machine translation, religious NLP research, cross-lingual modeling",2021,"Contains 60+ language translations including Hausa, Swahili, Amharic, Yoruba; not for commercial use without permission; must cite source if used in research"
Tatoeba – Multilingual Sentence Pairs,NLP,Tatoeba Project,Africa-wide,Text,Open Access (CC BY 2.0),https://tatoeba.org/en/downloads,"Machine translation, language modeling, multilingual NLP research",2025,"Contains multiple African languages like Swahili, Yoruba, Zulu, Hausa, Amharic; may require filtering or preprocessing for specific use"
TICO-19 Corpus,NLP,OPUS Project (University of Helsinki),Africa-wide,Text,Open Access (CC0 – Public Domain),https://opus.nlpl.eu/tico-19/corpus/version/tico-19,"Multilingual crisis communication, MT model training, pandemic response content localization",2021,Contains 37 languages; includes 75 bitexts and over 18 million tokens; suitable for low-resource language translation tasks
CCAligned: A Massive Collection of Cross-lingual Web-Document Pairs,NLP,"Research team
(Ahmed El-Kishky, Vishrav Chaudhary, Francisco Guzmán, Philipp Koehn)",Africa-wide,Mixed Formats,Public,https://www.statmt.org/cc-aligned/,"Training multilingual and zero-shot machine translation models
- Building cross-lingual retrieval systems
- Creating parallel corpora for low-resource languages",2020,"Alignment based on URL patterns — may produce noisy or incorrect pairs
- No human verification — contains spam, low-quality, or irrelevant content
- Document-level alignment — not always sentence-level parallel"
SaDILAR Language Resources,NLP,South African Centre for Digital Language Resources (SaDILAR),South Africa,"Audio, Text",Open Access (CC BY 4.0),https://repo.sadilar.org/home,"Speech recognition, language modeling, machine translation, education, digital humanities", 2024),"High-quality, curated resources; some require registration or specific software (e.g., ELAN, Praat); documentation varies across datasets"
OpenSLR African Speech Corpora,NLP,OpenSLR Community,Africa-wide,Audio,Open Access (CC BY-SA 4.0),https://openslr.org/?spm=a2ty_o01.29997173.0.0.1526c921lJquWk,"ASR system training, speech synthesis",2022,"Includes crowd-sourced recordings for Yoruba, Zulu, Kinyarwanda, etc."
AfriHate: Multilingual Hate Speech Dataset,NLP,AfriHate Project,Africa-wide,Text,Open Access (CC BY 4.0),https://github.com/AfriHate/AfriHate,"Hate speech detection, NLP research",2025,Limited to 15 African languages
Bambara Sentiment Analysis Dataset,NLP,Mountaga Diallo et al.,Mali,Text,Open (MIT License) ,https://huggingface.co/datasets/michsethowusu/bambara-sentiments-corpus,"Sentiment analysis, NLP research",2021,Underrepresented language; limited size
Yoruba Language,NLP,"Jesujoba Alabi and David Adelani (Saarland University, Germany)",Nigeria,Text,Open Access (CC BY-NC 4.0),https://huggingface.co/datasets/ajesujoba/yoruba_text_c3," - Training word embeddings (FastText, BERT) - Comparing curated vs. massive embeddings - Language modeling for low-resourced African languages",2022,"Focus on Yoruba language, Contains both clean texts (with proper diacritics) and noisy texts (incorrect or missing diacritics)
"
African Multilingual Text Corpus ,NLP,Masakhane Community,Africa-wide,Text,Open Access (CC BY 4.0),https://www.masakhane.io/,"NLP model training, translation",2023,Unequal language representation
Kallaama – Agricultural Speech Dataset,NLP,"Elodie Gauthier, Aminata Ndiaye Diallo, Abdoulaye Guissé, Boubacar Diallo, Maimouna Dial, Houleye Amadou Kane, Fatou Diouf",Senegal,Audio,Open Access (CC BY 4.0),https://zenodo.org/records/10892569,"ASR system development, voice assistants, agricultural advisory tools in local languages, language modeling, multilingual AI research",2024,Contains over 125 hours of transcribed speech; includes validated subset (~35 hours); supports spontaneous speech modeling; may require preprocessing for ML use
NaijaWeb,NLP,"Saheed Niyi
(individual researcher/developer)",Nigeria,Text,Open Access (CC BY 4.0),https://huggingface.co/datasets/saheedniyi/naijaweb,"Training language models (LMs) on Nigerian English and Pidgin
- Building NLP tools for Nigerian languages (e.g., NER, POS tagging, translation)",2024,"Data may contain noise (ads, navigation text, HTML artifacts)
- No explicit filtering for quality, bias, or sensitive content
- Lack of detailed metadata (e.g., exact sources, dates, domain categories)"
Swahili News Dataset,NLP,AI4D Language Dataset Fellowship (supported by K4All & Zindi Africa),Africa-wide,Text,Open Access (CC BY 4.0),https://zenodo.org/records/4300294,"Text classification, language modeling, machine translation, AI/ML model training",2021,Contains 876 news articles labeled into 6 categories; includes train/test split; limited to Swahili; may need preprocessing
Tunizi Dataset,NLP,iCompass,Tunisia,Text,Open Access (CC BY 4.0),https://zenodo.org/records/4275240,Sentiment analysis in Tunisian Arabizi,2020,Annotated social media comments; may contain noise
TaTa Dataset,NLP,Researchers,Africa-wide,Text,Open Access (CC BY 4.0),https://arxiv.org/abs/2211.00142,Table-to-text generation in African languages,2022,Limited to specific languages; may require preprocessing
Yoruba Speech-Text Parallel Dataset,NLP,"Mich Set Howusu (Researcher), AI4D Program, Zindi Africa",Nigeria,Audio,Open Access (CC BY 4.0),https://huggingface.co/datasets/michsethowusu/yoruba-speech-text-parallel,"Speech recognition, text-to-speech synthesis, voice assistants, language modeling",2024,Contains short sentences with aligned audio; suitable for building ASR and TTS models; limited to Yoruba
Kenyan Sign Language Dataset,NLP,University of Nairobi,Kenya,Video,Restricted,https://www.kaggle.com/datasets/yonaschanie/kslc-dataset,Sign language recognition and translation. Accessibility tools for the deaf community.,2022,Requires collaboration with the university of Nairobi research team 
CrowdSpeech Africa,NLP,"Toloka AI, with contributors from across Africa",Africa-wide,Audio,Open Access (CC BY 4.0),https://huggingface.co/datasets/toloka/CrowdSpeech,"Speech recognition, language modeling",2024,Designed to simulate real-life background noise; contains diverse African languages; requires Hugging Face login to download
Lacuna Fund Language datasets,NLP,Lacuna Fund,Africa-wide,"Tabular, Text",Open Access (CC BY 4.0),https://lacunafund.org/datasets/language/,"sentiment analysis, translation, speech detection ",2024,referes to links 
Swahili News Corpus,NLP,"Noel Masasi, Bernard Masua",East Africa,Text,Open Access (CC BY 4.0),https://data.mendeley.com/datasets/d4yhn5b9n6/2,"Language modeling, topic classification, AI training for Swahili NLP, digital literacy tools",2024,"High relevance to East African languages; suitable for building chatbots, translation systems, or policy analysis tools"
Chichewa News Dataset,NLP,AI4D Malawi News Classification,"Malawi, Zambia",Text,Open Access (CC BY 4.0),https://zenodo.org/records/3731994,"Text classification, NLP research",2020,Limited size; specific to Chichewa language
Ewe Language ASR Dataset & Model,NLP,"Human-Computer Interaction Lab, Ghana","Ghana, Togo",Audio,Open Access (CC BY 4.0),https://github.com/HCI-LAB-UGSPEECHDATA/ewe-asr-model,"Voice-based agricultural extension, digital health tools, AI chatbots in local languages, language modeling, speech-to-text systems",2024,Contains transcribed audio files; limited to Ewe speakers; requires Hugging Face or Python tools for use
AfriSenti Dataset,NLP,AfriSenti Project,Africa-wide,Text,Open Access (CC BY 4.0),https://github.com/afrisenti-semeval/afrisent-semeval-2023,"Sentiment analysis, NLP research",2023,Limited to Twitter data; varying annotation quality
Ethiopian AI Language Dataset (Amharic),NLP,Addis Ababa University NLP Group,Ethiopia,Text,Apache 2.0,https://ethionlp.github.io/resources.html,"Amharic language processing, translation",2022,Access requires institutional affiliation
Financial Inclusion Speech Dataset,NLP,Ashesi University (Ashesi-Org),Ghana,"Audio, Text",Open (MIT License) ,https://github.com/Ashesi-Org/Financial-Inclusion-Speech-Dataset,"Developing voice-based financial services (e.g., mobile banking, payment systems), building speech recognition systems for low-resource Ghanaian languages, research on sociolinguistics in Ghana.
",2023,"The dataset focuses on low-resource languages (Twi, Ewe, Ga, Dagbani), which is a key challenge in NLP. The data was crowdsourced, which may introduce variability in recording quality and accents. While a valuable resource, its size (over 20 hours, ~2,456 recordings) may be insufficient for training large models from scratch without pre-training or data augmentation."
Masakhane Projects,NLP,Masakhane,Africa-wide,Text,Open Access (CC BY 4.0),https://www.masakhane.io/,"Machine translation, NLP research",2024,Community maintained; quality varies by language
Ubuntu Dialogue Corpus,NLP,"Ryan Tate (Kaggle), Original Dataset by Jonathon C. Stroud et al.",South Africa,Text,Apache 2.0,https://www.kaggle.com/datasets/rtatman/ubuntu-dialogue-corpus,"Training dialogue systems , building chatbots, sentiment analysis, intent detecion ",2017,"Focused on technical support conversations, not general-purpose dialogue"
Radiant MLHub Crop Data,Agriculture,Radiant Earth Foundation,Africa-wide,Geospatial,Open Access (CC BY-SA),https://registry.opendata.aws/radiant-mlhub/,"Crop type classification, land use analysis",2023,Limited regional coverage
Wheat Leaf Dataset,Agriculture,Kaggle User: Olya Detch (Community-contributed),Ethiopia,Image,Open Access (CC BY 4.0),https://www.kaggle.com/datasets/olyadgetch/wheat-leaf-dataset,"Crop disease detection, AI/ML model training, plant health monitoring, agricultural extension tools",2023,Contains labeled wheat leaf images; suitable for image classification tasks; limited metadata on geographic origin or acquisition conditions
AfricaRice Research Data,Agriculture,"AfricaRice Center, International Rice Research Institute (IRRI), CGIAR",Africa-wide,Tabular,Open Access (CC0 1.0 – Public Domain),https://dataverse.harvard.edu/dataverse/africarice,"Rice variety selection, trait modeling, climate-resilient crop development, yield prediction, AI/ML in plant breeding
","2024
",Contact institution for some datasets; high-quality experimental data; includes multi-environment trials useful for precision agriculture
HarvestStat Africa,Agriculture,"HarvestStat, FEWSNET, FAO",Africa-wide,Tabular,Open (MIT License) ,https://datadryad.org/dataset/doi:10.5061/dryad.vq83bk42w,"Food security, trade, development, policy, research	",2025,"Data harmonization, coverage gaps, requires technical skills to use"
"Cane Yield of Estates, Metayer and Owner Planters by Region, Island of Mauritius (2015–2019",Agriculture,Government of Mauritius,Mauritius,Tabular,Open Access (CC BY 4.0),"cane yield of estates, metayer and owner -planters by region, Island of Mauritius, 2015-2019 - Dataset - opendata Mauritius","Analyze productivity trends in Mauritius’s sugar industry
- Compare yield performance between estate, metayer, and owner planters",2025,"Data may not include granular farm-level details
- Limited metadata on methodology (e.g., how yield is measured)
- No spatial or GIS data available for mapping"
"ATA Data, Ethiopia ",Agriculture,Agricultural Transformation Agency (ATA),Ethiopia,Tabular,Public,https://data.ata.gov.et/dataset,"Analyze farmer participation in input subsidy programs, monitor agricu;ltural advisory, soil fertility mapping and fertilizer recommendations, market price analysis for key crops, analyse seed distribution and sales ",2024,"Limited to 48 woredas; may require data cleaning multilingual data: may need transcription, data may be incomplete for some regions and may be incomplete "
African Chicken Genetic Gains (ACGG) - Baseline Data,Agriculture,"ILRI, CGIAR","Ethiopia, Nigeria, Tanzania",Tabular,Open Access (CC BY 4.0),https://data.mel.cgiar.org/dataset.xhtml?persistentId=hdl:20.500.11766.1/FK2/WUQHFQ,"Livestock breeding programs, poultry productivity improvement, socio-economic analysis, policy planning for rural development",2024,Contains baseline survey data on smallholder chicken farming systems; includes farmer preferences and performance metrics; supports gender-disaggregated and breed-specific research
SAEON Environmental & Agricultural Datasets,Agriculture,South African Environmental Observation Network (SAEON),South Africa,Mixed Formats,Open Access (CC BY 4.0),https://catalogue.saeon.ac.za/,"Agroclimatic modeling, precision agriculture, land degradation monitoring, biodiversity conservation",2025,Requires JavaScript-enabled browser; some datasets may require GIS tools; limited metadata visibility without direct access
Coffee and Cashew Nut Dataset,Agriculture,Mendeley Data (Research team based in Uganda),Uganda,Image,Open Access (CC BY 4.0),https://data.mendeley.com/datasets/r46c6bpfpf/1,"Crop classification, fruit detection, yield estimation, AI/ML model training, drone-based agriculture monitoring",2023,"Contains 6,086 annotated images of coffee and cashew crops; includes maturity levels (unripe, ripe, spoilt); validated by agricultural experts; suitable for object detection and counting models"
Cassava Whitefly Dataset,Agriculture,"Mendeley Data (National Crop Resources Research Institute - NaCRRI, Uganda)",Uganda,Image,Open Access (CC BY 4.0),https://data.mendeley.com/datasets/5g38399z9p/2,"Pest infestation detection, computer vision for crop disease identification, agricultural AI modeling",2022,"Images grouped into low, moderate, and high whitefly abundance categories; suitable for training ML models in plant health monitoring"
"Agricultural Households Panel Survey (Ethiopia, 2012–2015)",Agriculture,"Ethiopia Development Research Group (EDRG), Harvard Dataverse",Ethiopia,Tabular,Open Access (CC0 1.0 – Public Domain),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/VQOO17,"Crop production analysis, agricultural policy evaluation, rural livelihoods research, climate and farming impact studies",2024,"Rich crop-level data; includes yields, inputs, labor, income; requires statistical software; focused on Ethiopian smallholder farming"
Afrint Survey – Agricultural Households in Sub-Saharan Africa,Agriculture,Harvard Dataverse (Afrint Research Project),Africa-wide,Tabular,Open Access (CC0 1.0 – Public Domain),https://dataverse.harvard.edu/dataset.xhtml?spm=a2ty_o01.29997173.0.0.1526c921OnT7uo&persistentId=doi:10.7910/DVN/J0OS9R,"Crop production analysis, smallholder farming research, rural development policy, agricultural economics",2024,"Contains rich crop-level data including planting/harvesting dates, yields, inputs; requires statistical software; longitudinal coverage"
KaraAgroAI Drone-based Agricultural Dataset,Agriculture,"KaraAgro AI, Makerere AI Lab","Ghana, Uganda",Image,Open Access (CC BY 4.0),https://huggingface.co/datasets/KaraAgroAI/Drone-based-Agricultural-Dataset-for-Crop-Yield-Estimation,"Yield estimation, crop detection, fruit maturity, ML training",2024,"Drone data processing, limited to specific crops (cashew, cocoa, coffee)"
Lacuna Fund Agriculture Datasets,Agriculture,Multiple (see below),Africa-wide,Image,Open Access (CC BY 4.0),https://lacunafund.org/datasets/agriculture/,Crop disease Open License AI Agriculture Datasets for African Innovators and Startups,2025,
FAO Locust Monitoring Data,Agriculture,FAO,East Africa,Geospatial,Open Access (CC BY-NC-SA 3.0 IGO),https://locust-hub-hqfao.hub.arcgis.com/,"Pest response, food security",2024,Data requires expert interpretation
MLHUB MODIS/Terra Vegetation Indices 16-Day L3 Global 250m SIN Grid,Agriculture,NASA Earthdata / LP DAAC (Land Processes Distributed Active Archive Center),Africa-wide,Geospatial,Open Access (CC0 – Public Domain),https://access.earthdata.nasa.gov/collections/C2781412511-MLHUB,"Vegetation monitoring, agriculture yield estimation, drought tracking, environmental change detection",2024,Requires NASA Earthdata account; data in HDF or GeoTIFF format; may require GIS tools for processing
Livestock Production Index – Sub-Saharan Africa,Agriculture,TheGlobalEconomy.com (data sourced from FAO),Africa-wide,Tabular,Open Access (CC BY-NC-SA 3.0 IGO),https://www.theglobaleconomy.com/rankings/livestock_production_index/Sub-Sahara-Africa/,"Agricultural planning, livestock sector analysis, food security research, policy development",2023,Aggregated country-level index; not raw microdata; limited metadata details; based on Food and Agriculture Organization (FAO) statistics
CHIRPS Rainfall Estimates,Agriculture,"UCSB CHG, USGS, FEWS NET",Africa-wide,Geospatial,Public,https://earlywarning.usgs.gov/fews/search/?geography=18,"Agrometeorology, drought monitoring, crop insurance",2024,Widely used in early warning systems
HarvestChoice Spatial Data,Agriculture,IFPRI & HarvestChoice,Africa-wide,Tabular,Open Access (CC BY‑NC‑SA  4.0),https://www.yieldgap.org/harvest-choice,"Agricultural planning, investment targeting",2023,Modeled data; not real-time
Invasive and Introduced Plant Species List,Agriculture,GBIF,Africa-wide,Tabular,Open Access (CC BY 4.0),https://www.gbif.org/,"Invasive species tracking, agroecosystem management",2024,No raw observational data included
AfriCultuReS Satellite Data,Agriculture,AfriCultuReS Project,Africa-wide,Geospatial,Open Access (CC BY-SA 4.0),https://africultures-platform.eu/en/,"Drought monitoring, yield prediction",2023,Requires expert knowledge to use
SoilGrids – Digital Soil Mapping Data,Agriculture,ISRIC – World Soil Information Service,Africa-wide,Geospatial,Open Access (CC BY 4.0),https://soilgrids.org/,"Precision agriculture, land use planning, climate modeling, environmental research",2025,"Requires GIS tools (QGIS, ArcGIS, or GDAL); data accuracy varies in dense forest areas; global coverage with downloadable layers for African countries"
FAOSTAT,Agriculture,FAO,Africa-wide,Tabular,Open Access (CC BY 4.0),https://www.fao.org/faostat/en/#home,"Agricultural productivity, food security",2024,Wide coverage but not always granular
Production Of Major Crops in Upper West Region,Agriculture,Ghana Statistical Service,Ghana,Tabular,Open Access (ODC-By 1.0),https://www.data.gov.gh/,"Agricultural planning, food security",2018,Limited to Upper West Region; may not be comprehensive
African Foods Dataset (Ghana & Cameroon),Agriculture,"Mendeley Data (Original research by A. Addobbah, E. Aidoo, S. B. Dampare)","Ghana, Cameroon",Image,Open Access (CC BY 4.0),https://data.mendeley.com/datasets/rrzhwbg3kw/1,"Food recognition systems, AI training for food classification, cultural preservation, nutrition studies",2023,Images manually collected using Snip & Sketch; permissions obtained from page owners where required; limited metadata on image diversity and quality
Leopard ID – Individual Identification Dataset,Agriculture,"Botswana Predator Conservation Trust, Kasim Rafiq, Wild Me",Botswana,Image,Open Access (CDLA‑Permissive‑2.0),https://lila.science/datasets/leopard-id-2022/,"Wildlife monitoring, individual animal identification, AI model training, conservation research",2022,"Contains 6,795 leopard images and metadata; 430 uniquely identified individuals; requires cloud-based download tools (GCP, AWS, Azure); large file size (~8GB); useful for species-specific AI models and ecological tracking"
Aerial Seabirds West Africa,Agriculture,"Eelke Folmer, Kellenberger et al.",West Africa,Geospatial,Open Access (CDLA‑Permissive‑2.0),https://lila.science/datasets/aerial-seabirds-west-africa/,"Wildlife monitoring, species detection, AI model training for bird counting, conservation research",2021,"Contains 21,516 annotated seabirds; requires GIS or computer vision tools; large file size (2.2GB GeoTIFF); spatial reference altered to prevent misuse; useful for ecosystem validation"
Desert Lion Conservation Camera Traps,Agriculture,Peter van Lunteren (Desert Lion Conservation),Namibia,Image,Open Access (CDLA‑Permissive‑2.0),https://lila.science/datasets/desert-lion-conservation-camera-traps/,"Wildlife monitoring, species detection, conservation AI, camera trap image analysis",2024,"Contains 65,959 images and 199 videos; labels include species and location identifiers; requires cloud-based download tools like"
Africa Biomass dataset,Agriculture,Field measurements conducted by researchers in Côte d'Ivoire,Côte d'Ivoire,Tabular,Open Access (CC BY 4.0),https://huggingface.co/datasets/data354/Africa_Biomass_dataset,"Train and validate machine learning models for AGB estimation using satellite data (Sentinel-2, GEDI, etc.)
- Improve national carbon stock inventories for REDD+ reporting
- Develop country-specific allometric equations for West African forests
- Support sustainable forest management and conservation planning
- Benchmark against coarse global biomass products (e.g., ESA Biomass, GEDI)",2023,"Small sample size (263 plots) — may not capture full spatial heterogeneity of Ivorian forests
- No spatial coverage map or plot-level metadata (e.g., forest type, disturbance history) provided"
"Africa Tree Canopy Cover (100 m resolution, 2019)",Agriculture,Zenodo (Planet Labs data),Africa-wide,Geospatial,Open Access (CC BY 4.0),https://zenodo.org/records/7764460,Mapping tree cover beyond dense forests — critical for savannahs and agroforestry,2019,"100m resolution may miss small-scale tree patterns
- No validation statistics or uncertainty estimates provided"
Snapshot Safari 2024 Expansion,Agriculture,"Smithsonian Institution , Sarah Huebner",Africa-wide,Image,Open Access (CDLA‑Permissive‑2.0),https://lila.science/datasets/snapshot-safari-2024-expansion/,"Wildlife monitoring, species detection, conservation research, AI model training for biodiversity tracking",2024,"Large dataset size; requires cloud-based download tools like gsutil, aws s3 or AzCopy
Some image filenames correspond to specific project codes. Useful for cross-validation across different ecosystems."
Lacuna Fund Agriculture datasets ,Agriculture,Lacuna Fund,Africa-wide,Geospatial,Open Access (CC BY 4.0),https://lacunafund.org/datasets/agriculture/,"Image data, crop yied prediction, plant disease monitoring ",2024,referes to links 
AfriPop/WorldPop - Population Density Data,Agriculture,"University of Southampton, Flowminder Foundation, WorldPop team",Africa-wide,Geospatial,Open Access (CC BY 4.0),https://hub.worldpop.org/project/categories?id=18,Population density datasets ,2025,"data resolution, accuracy, "
Datasets from CGIAR Research Centers (various specific datasets),Agriculture,"CGIAR (Consortium of International Agricultural Research Centers, e.g., IITA, ILRI, CIMMYT, IRRI - Africa programs)",Africa-wide,Mixed Formats,Open Access (CC BY-NC 4.0),https://bigdata.cgiar.org/,"Crop performance, mapping distribution of pests, analysing socio economic factors",2025,"datasets higlhy specfic to research questions, crops and regions; sensitive data may be restsricted, some datasets may require domain experts to understand "
"National Household Surveys (e.g., Living Standards Measurement Study - Integrated Surveys on Agriculture (LSMS-ISA))",Agriculture,"World Bank, National Statistical Offices",Africa-wide,Geospatial,Open Access (CC BY 4.0),https://www.worldbank.org/en/programs/lsms/initiatives/lsms-ISA,"Farm economics, input use, climate adaptation, poverty targeting, food security modeling",2023,"access is restrsicted, data collection is periodical, sample sizes may be limited "
ILRI Datasets,Agriculture,International Livestock Research Institute,Africa-wide,Tabular,Open Access (CC BY 4.0),https://livestockdata.org/resources/ilri-datasets,"Disease control, productivity analysis",2022,Data access challenges
Kenya National Agriculture Data,Agriculture,KNBS & Ministry of Agriculture,Kenya,Tabular,Open Access (CC BY 4.0),https://statistics.knbs.or.ke/nada/index.php/home,Agri productivity models,2024,Some sections outdated
African Soil Information Service (AfSIS),Agriculture,CIAT / AfSIS,Africa-wide,Geospatial,Open Access (CC BY 4.0),https://osf.io/pqv3z/,"Precision agriculture, soil suitability AI",2024,Incomplete spatial coverage
Makerere University Beans Image Dataset,Agriculture,Makerere AI Lab,Uganda,Image,Open Access (CC BY 4.0),https://air.ug/?page_id=3464,"Bean disease diagnosis, precision agriculture.",2025,Limited to bean diseases; specific image capture conditions.
Desert Locust Observations,Agriculture,UN FAO (Food and Agriculture Organization),East Africa,Tabular,Open Access (CC BY 4.0),https://ai4good.org/what-we-do/sdg-data-catalog/,Tracking and predicting desert locust outbreaks for early warning systems.,2025,Requires integration with other environmental and weather data for effective prediction.
Ethiopian Crop Yield Dataset,Agriculture,Ethiopian Institute of Agricultural Research,Ethiopia,Tabular,Open,https://data.eiar.gov.et/,"Yield prediction, climate adaptation",2022,Limited temporal range
Africa Fertilizer Map,Agriculture,AfricaFertilizer.org,Africa-wide,Tabular,Open Access (CC BY-NC-SA 3.0 IGO),https://africafertilizer.org/#/en/results-and-data/afo-stats/,Fertilizer access modeling,2024,Pricing data not real-time
iNaturalist Africa Dataset,Agriculture,iNaturalist,Africa-wide,Image,Open Access (CC BY-NC 4.0),https://www.inaturalist.org/projects/inat-2017-challenge-dataset,"Species recognition, biodiversity AI",2024,Uneven geographic coverage
Threatened Bird Species in Africa,Agriculture,BirdLife International (via Open.Africa),Africa-wide,Tabular,Open Access (CC BY 4.0),https://open.africa/dataset/threatened-bird-species,"Wildlife monitoring, conservation planning, AI-based ecological modeling, environmental impact assessments",2024,Contains only tabular bird species list; no images or geospatial data included; useful for integration with GIS or camera trap datasets
