Dataset Name,Domain,Source,Country,Data Type,Access Level,Link,Use Cases,Last Updated,Challenges/Notes
Bird Atlas of Kenya – Digitized Breeding Records,Agriculture,"Lewis & Pomeroy (1989), digitization by Rafnuss et al.",Kenya,Geospatial,Open Access (CC BY 4.0),https://www.gbif.org/dataset/00327ee4-9970-4aef-b51a-d6998ebcc249,"Biodiversity mapping, ecological research, agroecosystem health indicators, conservation planning",2022,Limited to historical data; useful for longitudinal biodiversity studies; code available for replication
Wildlife Crime Kenya Dataset,Agriculture,"Jim Riungu (contributor), WildlifeDirect, Judiciary Training Institute",Kenya,Tabular,Open Access (CC BY 4.0),https://data.mendeley.com/datasets/3t6xygny2f/1,"Wildlife crime analysis, policy development, conservation research, legal AI tools",2025,"Contains 1,099 wildlife crime cases involving 2,025 persons across 113 Kenyan magistrate courts; data collected between 2018–2019"
Malawi Africa RISING Follow-up Survey,Agriculture,IFPRI,Malawi,Tabular,Open Access (CC BY 4.0),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BSFSIW,"Agricultural policy, rural livelihoods",2023,Follow-up data; baseline survey required for full context
WFP Food Prices for Kenya,Agriculture,WFP,Kenya,Tabular,Open Access (CC BY 4.0),https://data.humdata.org/dataset/wfp-food-prices-for-kenya,"Monitor food inflation & affordability
- Inform humanitarian aid targeting
- Support early warning systems for famine/drought
- Academic research on food markets & resilience
- Policy design for social safety nets",2025,"Prices are market-specific and may not reflect rural/remote areas
- Some markets have sparse or intermittent reporting
- Exchange rate fluctuations affect comparability over time
- Does not include informal/unrecorded trade"
KaraAgro AI Maize Dataset,Agriculture,University of Ghana,Ghana,Image,Open Access (CC BY 4.0),https://datasetninja.com/kara-agro-ai-maize,"AI /ML model training for in-field maize disease detection
- Fall Armyworm & Maize Streak Disease diagnosis
- Precision agriculture tools
- Agricultural extension apps for smallholder farmers
- Spatial analysis of crop health",2022,"No pre-defined train/val/test splits (user must create)
- 99 unlabeled images included (1% of total)
- Geographically focused on Ghana — may not generalize to all African agro-ecologies
- Requires bounding box parsing (COCO/YOLO/Supervisely formats available)"
International Food Security Data,Agriculture,USDA,Africa-wide,Tabular,Open Access (CC0 1.0 – Public Domain),https://agdatacommons.nal.usda.gov/articles/dataset/International_Food_Security/24660480,Hunger risk assessment,2024,Regional focus
ATI Ethiopia Datasets,Agriculture,Agricultural Transformation Agency,Ethiopia,Mixed Formats,Public,https://data.ata.gov.et/dataset,"Agricultural planning, policy development",2024,Data availability varies by dataset
African Plums Quality and Defect Assessment Data,Agriculture,"Arnaud Fadja (Researcher), University of Yaoundé I, Cameroon",Cameroon,Image,Open Access (CC BY 4.0),https://www.kaggle.com/datasets/arnaudfadja/african-plums-quality-and-defect-assessment-data,"Crop quality assessment, AI/ML model training, defect detection, precision agriculture",2023,Contains images of African plums (Dacryodes edulis) labeled by experts; suitable for deep learning models; limited to one crop species
RCMRD – Africa Biomes Dataset,Agriculture,Regional Centre for Mapping of Resources for Development (RCMRD),Africa-wide,Geospatial,Open Access (CC BY 4.0),https://opendata.rcmrd.org/datasets/rcmrd-africa-biomes-dataset/about,"Land cover mapping, agriculture planning, environmental monitoring, biodiversity research, climate change impact analysis",2023,High-resolution land cover map of Africa; derived from ESA Sentinel-2 satellite imagery; requires GIS tools to use
Characterization of Seed Germination Capacity and Effect of Pre-Sowing Treatments on Seed Germination,Agriculture,International Institute of Tropical Agriculture (IITA),Africa-wide,Tabular,Open Access (CC BY 4.0),https://data.iita.org/dataset/characterization-germination-capacity-and-different-pre-sowing-on-seed-germination,"Seed viability analysis, agronomy research, seed technology development, precision agriculture",2025,Contains experimental results from controlled trials; supports AI modeling for seed treatment optimization; may require domain knowledge in plant physiology
SNP Dataset for GWAS in Cassava,Agriculture,International Institute of Tropical Agriculture (IITA),Africa-wide,Tabular,Open Access (CC BY 4.0),https://data.iita.org/dataset/snp-dataset-for-gwas,"Genome-Wide Association Studies (GWAS), cassava trait mapping, disease resistance breeding, climate resilience research",2025,Contains high-density SNP data for cassava genotypes; supports genetic improvement of cassava varieties; requires bioinformatics tools for analysis
iSDAsoil Datasets ,Agriculture,iSDAsoil ,Africa-wide,Geospatial,Open Access (CC BY 4.0),https://www.isda-africa.com/isdasoil/open-soil-data/,"Precision agriculture, soil mapping, AI modeling for crop suitability",2024,Accuracy can be lower in dense jungle areas; requires geospatial analysis skills.
SLAPIS-Niger – Local Early Warning & Agricultural Planning System,Agriculture,"Government of Niger, WFP, FAO, ACPC",Niger,Tabular,Open Access (CC0 – Public Domain),https://www.slapis-niger.org/fr,"Food security monitoring, drought early warning, crop production planning, market price tracking, climate adaptation",2025,Limited public access to raw datasets; mostly used internally by government and humanitarian actors; requires collaboration or institutional affiliation to access granular data
Invasive and Introduced Plant Species List,Agriculture,Global Biodiversity Information Facility (GBIF),Africa-wide,Tabular,Open Access (CC BY 4.0),https://www.gbif.org/dataset/23ec2d04-c0eb-4ca4-afb8-a8710e38f641,"Biodiversity monitoring, invasive species research, ecological modeling, conservation planning",2018,Contains a list of plant species; no raw observational data included in this view; metadata limited without direct GBIF API integration
Tanzania Agricultural Satellite Data ,Agriculture,Tanzania Space Agency,Tanzania,Image,Open Access (CC BY 4.0),https://tanzaniasa.go.tz/,"Crop monitoring, land use classification",2025,Cloud cover interference
Cameroon Crop Disease Dataset ,Agriculture,Cameroon Ministry of Agriculture,Cameroon,Image,Open Access (CC BY 4.0),https://cameroonagri.gov.cm/,"Disease detection, precision agriculture",2023,Limited data size
Crop Disease Dataset – Ghana,Agriculture,"Responsible AI Lab, Ashesi University (Ghana)",Ghana,Image,Open Access (CC BY 4.0),https://www.kaggle.com/datasets/responsibleailab/crop-disease-ghana,"Crop disease detection, AI/ML model training, plant health monitoring, agricultural extension tools",2023,"Contains over 1,500 images of diseased crops; includes cassava, maize, and tomato; suitable for computer vision and deep learning models"
African fish collection of the Africamuseum,Agriculture,"Royal Museum for Central Africa, Belgium",Africa-wide,Tabular,Open Access (CC BY 4.0),https://data.biodiversity.be/dataset/9cfa6cb6-5833-44b2-97f1-18a3c12fed47,Taxonomic research and species discovery,2024,"Only ~50% of 1M+ specimens digitized — significant portion still offline
- Older records may lack precise GPS coordinates or habitat metadata                                                      - Sampling bias toward accessible regions (e.g., near research stations or colonial-era collection routes)
"
HIV/AIDS Prevalence in Sub-Saharan Africa,Healthcare,"World Bank (with data compiled from UNAIDS, WHO, and national health surveys)",Africa-wide,Tabular,Open Access (CC BY 4.0),https://data.worldbank.org/indicator/SH.DYN.AIDS.ZS?locations=ZG,"Public health planning, disease burden analysis, policy evaluation, academic research",2023,Regional aggregate data (not country-specific); some years may have modeled or estimated values; limited demographic breakdown
A labeled Clinical-MRI dataset of Nigerian brains,Healthcare,"Eberechi Wogu (University of Port Harcourt), Franco Pestilli (The University of Texas at Austin), et al.",Nigeria,Mixed Formats,Open Access (CC BY 4.0),https://brainlife.io/pub/675af884becd6464d43296c5,"Training and validating AI models for medical image analysis (e.g., disease classification), studying neurological diseases in an underrepresented Nigerian cohort, addressing the lack of diversity in neuroimaging data, serving as a benchmark for future studies from Africa.",2024,"Small sample size — limits statistical power for subgroup analyses
- Single-site data (University of Port Harcourt) — may not represent Nigeria’s full genetic/geographic diversity
- No functional MRI, diffusion MRI, or longitudinal data
- No standardized clinical assessment scores (e.g., MMSE, UPDRS) provided"
ASZED - The African Schizophrenia EEG Dataset,Healthcare,"K.S. Mosaku (Project leader), E.O. Olateju (Data curator), et al.",Nigeria,Mixed Formats,Open Access (CC BY 4.0),https://zenodo.org/records/14178398,"Train AI models for schizophrenia detection using EEG biomarkers in African populations
- Identify population-specific neural signatures of schizophrenia (e.g., MMN/ASSR abnormalities)
- Address global bias in psychiatric neuroimaging (currently >95% from Europe/North America)
- Develop culturally appropriate diagnostic tools for low-resource settings
- Benchmark EEG-based computational psychiatry models across ancestries",2024,"Small sample size relative to global EEG datasets (153 subjects)
- Limited demographic diversity within Nigeria (e.g., ethnic, linguistic, socioeconomic)
- No fMRI, structural MRI, or clinical scale scores (e.g., PANSS) mentioned
- No publicly available link or access protocol yet confirmed"
CHAMPS HD SSLC – Health & Demographic Surveillance Data,Healthcare,"University of California, Santa Barbara (UCSB), Climate Hazards Center; supported by USAID and NASA",Africa-wide,Tabular,Open Access (CC BY 4.0),https://champshdsslc.org/,"Child mortality risk mapping, disease outbreak prediction, early warning systems, agricultural planning",2025,Integrates with HDSS networks like INDEPTH; requires technical knowledge to process remote sensing and health data; some datasets may need access approval
BraTS-Africa Dataset (Brain Tumor Segmentation Africa),Healthcare,"Saarland University, University of Ibadan, DFKI, INRIA, McGill University and Mila, National Institute of Informatics (NII)",Nigeria,Image,Open Access (CC BY 4.0),https://www.cancerimagingarchive.net/collection/brats-africa/,"Brain tumor detection, segmentation, and diagnosis; medical image analysis.",2024,"Limited to brain tumors; ethical considerations for medical data; need for broader coverage of African patient data. also contains 146 patient scans; includes preprocessed NIfTI files; requires license agreement for access to full dataset
"
A labeled Clinical-MRI dataset of Nigerian brains – Brain Masks,Healthcare,"University of Ibadan, Federal Neuropsychiatric Hospital (Nigeria), brainlife.io contributors",Nigeria,Image,Open Access (CC BY 4.0),https://brainlife.io/pub/66614215829dd9abdbb3c51c,"Neuroimaging research, disease classification, AI/ML model training for brain disorders, African-specific neuroanatomy studies",2024,Contains manually segmented brain masks; includes healthy controls and neurological conditions like dementia and Parkinson’s; suitable for deep learning and segmentation tasks
Malaria Parasite Image Dataset – Malaria Species Classification,Healthcare,Kaggle User: Saife Hasan (community-contributed),Africa-wide,Image,Open Access (CC BY 4.0),https://www.kaggle.com/datasets/saife245/malaria-parasite-image-malaria-species,"Malaria diagnosis, AI/ML model training for parasite detection, telemedicine tools, disease surveillance",2021,Contains labeled microscopic images of malaria-infected red blood cells; suitable for CNN-based classification models; limited metadata on patient origin or clinical context
DHS - Demographic and Health Surveys,Healthcare,"USAID, National Stats Offices",Africa-wide,Tabular,Public,https://dhsprogram.com/data/available-datasets.cfm,"Public health, gender studies, population",2022,Lag in availability of recent data
Wazimap – COVID-19 Data Subsets,Healthcare,Africa Data Hub (adh),South Africa,Tabular,Open Access (CC BY 4.0),https://ckan.africadatahub.org/dataset/adh-wazimap-covid-19-data-subsets,"Public health monitoring, pandemic impact analysis, policy evaluation, data journalism",2022,Subset of national statistics; limited to South Africa; does not include real-time or raw case-level data
UNECA COVID-19 Tracker,Healthcare,UNECA,Africa-wide,Tabular,Public,https://knowledge.uneca.org/covid19/countrydata,"Crisis response, public health",2023,Limited post-pandemic updates
Kenya Demographic and Health Survey (KDHS) 2014,Healthcare,Kenya National Bureau of Statistics,Kenya,Tabular,Open,https://dhsprogram.com/data/dataset/Kenya_Standard-DHS_2014.cfm?flag=0,"Health indicators, policy planning",2014,Data may be outdated
OpenStreetMap Health Facilities Data (Africa Subset),Healthcare,OpenStreetMap Community (Global),Africa-wide,Geospatial,Open (Open Data Commons Open Database License - ODbL),https://www.openstreetmap.org/export#map=13/8.97623/38.80302,Spatial Data,2025,Data is crowdsourced and quality varies significantly by region and contributor
Malaria in Children Under Five (UNICEF),Healthcare,"UNICEF, WHO, IHME",Africa-wide,Tabular,Open Access (CC BY 3.0 IGO),https://data.unicef.org/resources/dataset/malaria/,"Public health planning, malaria prevention programs, disease burden analysis, academic research",2023,Contains aggregated national-level statistics; does not include individual-level or subnational survey data; some indicators are modeled estimates
Lacuna Fund Health Datasets,Healthcare,Lacuna Fund,"Uganda, Nigeria",Mixed Formats,Open Access (CC BY 4.0),https://lacunafund.org/datasets/health/,"Disease classification, diagnostics",2024,Not directly downloadable
CHOWNET: An Image Dataset of Nigerian Food,Healthcare,AI Sturdays Lagos community,Nigeria,Tabular,Open Access (CC BY 4.0),https://zenodo.org/records/13633554,"Food object detection, food captioning, multi-label classification ",2018,small number im image datasets but very useful
OpenMRS Deployments,Healthcare,OpenMRS Community,Africa-wide,Tabular,Open Access (CC BY 4.0),https://en.wikipedia.org/wiki/OpenMRS,Electronic medical records for HIV and TB treatment,2020,Deployment varies by country; data access may require permissions
Health Documents in Serengeti Dataset,Healthcare,UBC-NLP,Africa-wide,Text,Apache 2.0,https://github.com/UBC-NLP/serengeti,NLP tasks in healthcare domain,2021,Data collected from various sources; may require preprocessing
Ghana Health Service Data ,Healthcare,Ghana Health Service,Ghana,Tabular,Restricted,https://www.ghanahealthservice.org/,"Disease surveillance, health analytics",2024,Data privacy restrictions
WHO AFRO Health Data Hub (156 datasets),Healthcare,WHO AFRO,Africa-wide,Tabular,Open Access (CC BY 4.0),https://aho.afro.who.int/data-and-statistics/af,"Population health monitoring, trend analysis",2025,Heterogeneous formats; fusing country files
iAHO Malaria by Country,Healthcare,WHO AFRO,Africa-wide,Tabular,Open Access (CC BY 4.0),https://aho.afro.who.int/data-and-statistics/af,"Public health monitoring, policy-making, research, disease control, SDG Tracking ",2025,Aggregated; requires local case data integration
Interacative TB Mapping ,Healthcare,WHO/Stoptb.org,Africa-wide,Tabular,Open Access (CC BY‑NC‑SA  4.0),https://dashboards.stoptb.org/country-profile.html,National disease tracking ,2022,"Based on models, may not reflect all cases data lag "
World Bank Health Indicators for South Africa,Healthcare,World Bank Group,South Africa,Tabular,Open Access (CC BY 4.0),https://data.humdata.org/dataset/world-bank-health-indicators-for-south-africa,"Health policy, research, monitoring, planning",2024,Monthly updates; broad indicator coverage; data aggregated from official sources; requires attribution
Global Midwives Mapping Dataset,Healthcare,ICM / Global Midwives Hub,Africa-wide,Tabular,Open Access (CC BY‑NC‑SA  4.0),https://data.internationalmidwives.org/search,"Workforce planning, maternal health equity, training gaps",2023,Varies by country; may miss informal care providers
"ICRISAT Agricultural & Health Linkage Data (e.g., nutrition surveys, links to crop data)",Healthcare,ICRISAT (International Crops Research Institute for the Semi-Arid Tropics) and partners,Africa-wide,Mixed Formats,Open Access (CC BY 4.0),https://www.icrisat.org/resources/data/comparative-map-homepage," links between agricultural production, food security, and nutritional outcomes at the household level.",2025,"access policies vary, "
OpenPowerlifting Data,Healthcare,OpenPowerlifting Project,Africa-wide,Tabular,Open Access (CC BY 4.0),https://www.openpowerlifting.org/,"Sports analytics, performance benchmarking, trend analysis, open data research",2024,Contains detailed global powerlifting records; can be used for statistical modeling and visualization
Dataset for Modeling Climate Change and Health in Uganda-East Africa,Healthcare,Figshare (Published by CHAI-UGA project researchers),"Uganda, Nigeria",Tabular,Open Access (CC BY 4.0),https://figshare.com/articles/dataset/Dataset_for_Modeling_Climate_Change_and_Health_in_Uganda-East_Africa/12236957,"Climate change impact analysis, disease prediction modeling, early warning system development, public health planning",2023,"Includes 436 matched records of climate and health data; covers climate-sensitive diseases; includes variables like rainfall, temperature, humidity, pressure, solar radiation, and wind speed"
Distribution of Outbreaks by Region per Month,Healthcare,Ghana Statistical Service,Ghana,Tabular,Public,https://www.data.gov.gh/,"Public health monitoring, emergency response",2012,Data may be outdated; limited to 2000-2012
COVID-19 Africa Data Hub,Healthcare,African CDC / WHO,Africa-wide,Tabular,Open Access (CC BY-NC-SA 3.0 IGO),https://africacdc.org/covid-19/,"Disease tracking, outbreak modeling",2025,Data inconsistencies between countries
Healthcare Prices in Sub-Saharan Africa (World Bank Data),Healthcare,The World Bank via TheGlobalEconomy.com,Africa-wide,Tabular,Open Access (CC BY 4.0),https://www.theglobaleconomy.com/rankings/healthcare_prices_wb/Sub-Sahara-Africa/,"Health economics research, cost comparison, policy analysis, healthcare affordability assessment",2023,Aggregated country-level data; not raw microdata; based on health price indices; limited metadata details; sourced from secondary databases
AfriMed-QA ,Healthcare,"Intron Health (Collaborative project with SisonkeBiotik, BioRAMP, Georgia Tech, MasakhaneNLP, Google Research)",Africa-wide,Text,Open Access (CC BY 4.0),https://afrimedqa.com/#data,"LLM in african healthcare, clinical decision support, AI halucination in medicine ",2024,"high quality but limited size, Niche use cases "
Offshore Wind Technical Potential,Environment and Energy,World Bank / EnergyData.info,Africa-wide,Geospatial,Open Access (CC BY 4.0),https://energydata.info/dataset/offshore-wind-technical-potential,"Wind farm planning, renewable energy resource assessment",2021,"Data resolution varies, requires GIS expertise, limited to offshore wind"
Electricity Maps Data,Environment and Energy,Electricity Maps,Africa-wide,Tabular,Open (Open Data Commons Open Database License - ODbL),https://app.electricitymaps.com/datasets,"Grid emissions tracking, renewable integration analysis",2024,"Data coverage varies by country, relies on public grid data"
Global Fishing Watch,Environment and Energy,GFW,Africa-wide,Geospatial,Open Access (CC BY 4.0),https://globalfishingwatch.org/data-download/,Illegal fishing detection,2025,Satellite-based tracking
Morocco Weather Data ,Environment and Energy,Morocco Meteorological Department,Morocco,Tabular,Open (Open Data Commons Open Database License - ODbL),https://www.dmne.gov.ma/,"Climate modeling, agriculture",2023,Variable data quality
Power Africa Enabling Environment Tracker Dataset (2021),Environment and Energy,"United States Agency for International Development (USAID), via Power Africa",Africa-wide,Tabular,Open Access (Public Domain),https://catalog.data.gov/dataset/power-africa-enabling-environment-tracker-dataset-2021-b1b47,"Policy analysis, regulatory reform, investment climate assessment, energy sector reform tracking",2021,Focuses on regulatory and policy environment for power investments; includes country-level scores and indicators across 12 countries
East Africa - Power Pool Renewable Energy Zones Wind,Environment and Energy,"World Bank Group, ESMAP",Africa-wide,Mixed Formats,Open Access (CC BY 4.0),https://energydata.info/dataset/eastern-africa-power-pool-renewable-energy-zones-wind,"Renewable energy planning, wind power site selection, regional power integration, feasibility studies",2018,Contains spatial (GeoJSON) data for wind zones; may require GIS tools to analyze; limited metadata details available
AFRO_ENERGYPOL – Database of African Renewable Energy Policies,Environment and Energy,Mendeley Data (based on research by Lisa Neubaum),Africa-wide,Mixed Formats,Open Access (CC BY 4.0),https://data.mendeley.com/datasets/grhystdwdr/1,"Renewable energy policy analysis, comparative studies, academic research, policy design and reform",2020,"Based on publicly available sources (World Bank, IRENA, IEA, Climatescope); includes qualitative and quantitative assessments of policies; published in:""Is Green a Africa-wide Colour? Mapping African Renewable Energy Policies and Transitions in 34 Countries"", in:Energy Research and Social Science"
Climate Compatible Growth Starter Datasets,Environment and Energy,CCG and OpTIMUS projects,Africa-wide,Mixed Formats,Open Access (CC BY 4.0),https://zenodo.org/communities/ccg-starter-kit/,"Energy planning, environmental studies",2023,Data standardization across countries
Nigeria Cities Population and Geographic Information,Environment and Energy,Datum Africa,Nigeria,Geospatial,ODC-PDDL,https://datum.africa/datasets/nigeria-cities-population-and-geographic-information,Mapping urban growth and density,2025,May lack historical time series
Digital Earth Africa - Land Cover Data,Environment and Energy,Digital Earth Africa,Africa-wide,Image,Open (Open Data Commons Open Database License - ODbL),https://www.digitalearthafrica.org/,"Environmental monitoring, urban growth",2024,Requires large storage/processing capacity
Algerian Forest Fires Dataset,Environment and Energy,Center for Development of Advanced Technologies (CDTA),Algeria,Tabular,Open Access (CC BY 4.0),https://archive.ics.uci.edu/dataset/547/algerian+forest+fires+dataset,"Predict forest fire risk using weather variables
- Study impact of climate on fire frequency in Mediterranean ecosystems
- Support early warning systems for wildfire management in North Africa",2020,"Small dataset size (244 rows) — may require augmentation or transfer learning
- Limited geographic coverage (only 2 regions in Algeria)"
High-Resolution Load Dataset from Smart Meters across Various Cities in Morocco,Environment and Energy,"University of Hassan II, Casablanca, Morocco",Morocco,Tabular,Open Access (CC BY 4.0),https://archive.ics.uci.edu/dataset/1158/high-resolution+load+dataset+from+smart+meters+across+various+cities+in+morocco,"Forecasting urban electricity demand at high temporal resolution
- Detecting anomalies and load patterns in smart grid systems
- Optimizing energy distribution and load balancing",2024,"Anonymized meter IDs — no direct customer-level analysis possible
- No weather or demographic metadata linked to load profiles
- Limited geographic coverage (only major cities)"
NamPower – Open Energy and Infrastructure Datasets,Environment and Energy,Namibia Power Corporation (NamPower),Namibia,Geospatial,Public,https://www.nampower.com.na/Page.aspx?p=192,"Rural electrification analysis, energy demand modeling, AI-based load forecasting, agri-tech infrastructure planning",2025,Limited geospatial granularity; most data available as PDF reports requiring conversion for ML use
SAHA Satellite Dataset,Environment and Energy,South African National Space Agency (SANSA),South Africa,Image,Mixed Licenses,https://catalogue.sansa.org.za/search/,"Environmental monitoring, AI remote sensing",2024,Requires expertise in image processing
Africa Major Mineral Deposits Dataset,Environment and Energy,Regional Centre for Mapping of Resources for Development (RCMRD),Africa-wide,Geospatial,Open Access (CC BY 4.0),https://opendata.rcmrd.org/datasets/rcmrd::africa-major-mineral-deposits-dataset/about?spm=a2ty_o01.29997173.0.0.3f85c921Skbp36,"Mineral exploration planning, academic research, investment analysis, environmental impact studies, regional development policy",2023,Data may be generalized or outdated; accuracy depends on source surveys; may lack detailed mineral grade or reserve data; licensing/use restrictions may apply
Ember Electricity Data Explorer,Environment and Energy,Ember,Africa-wide,Tabular,Open Access (CC BY 4.0),https://ember-energy.org/data/electricity-data-explorer/,"Energy transition monitoring, policy analysis",2025,"Data aggregation delays, dependent on national reporting"
Open Buildings: Global Building Footprint Dataset,Climate and Geospatial,Google Research,Africa-wide,Geospatial,Open Access (CC BY 4.0),https://sites.research.google/gr/open-buildings/,"Mapping urban density and informal settlements
- Estimating population distribution in the absence of census data
- Disaster damage assessment (e.g., after earthquakes or floods)",2025,"Detection accuracy varies by region (lower in dense urban areas or under tree canopy)
- Does not distinguish building use (residential, commercial, etc.)"
HarvestNet Dataset,Climate and Geospatial,Stanford University (Amna Elmustafa (ARXIV),Ethiopia,Image,Open Access (CC BY 4.0),https://figshare.com/s/45a7b45556b90a9a11d2,"Detect smallholder farm presence in data-scarce, conflict-affected, or remote regions
- Improve accuracy of cropland mapping beyond traditional land cover products (e.g., ESA CCI, MODIS)
- Enable timely food security assessments and early warning systems
- Support humanitarian aid targeting and agricultural policy design",2023,"Geographically limited to two Ethiopian regions (Tigray & Amhara)
- No temporal series — snapshot from 2020–2023, not annual
- No crop-type classification — only binary farm/non-farm
- Low-resolution imagery (PlanetScope) may miss very small or obscured fields
- Requires geospatial and ML expertise to process and interpret"
Ensemble Source Africa Cropland Mask 2016,Climate and Geospatial,"Mohsen Nabil, Miao Zhang, Bingfang Wu, Jose Bofana, Abdelrazek Elnashar",Africa-wide,Geospatial,Open Access (CC BY 4.0),https://figshare.com/articles/dataset/A_30m_African_Cropland_Layer_for_2016_by_Integrating_Multiple_Remote_sensing_Crowdsource_and_Auxiliary_Datasets_/13520141,"Mapping agricultural land extent for food security assessments
- Monitoring cropland expansion and land use change
- Supporting precision agriculture and irrigation planning
- Input for crop yield modeling and climate impact studies",2021,"Single year (2016) — lacks temporal continuity for trend analysis
- Resolution (30m) may miss smallholder or fragmented fields
- No distinction between crop types (e.g., maize, cassava)
- May misclassify irrigated or fallow land as cropland"
Africa Field Boundary Labels,Climate and Geospatial,"Farmerline, Clark Univ., Spatial Collective",Africa-wide,Geospatial,Open Access (CC BY 4.0),https://registry.opendata.aws/africa-field-boundary-labels/,"Crop mapping, ML model training, land use analysis",2024,"Imagery license restrictions, large data size, technical requirements"
Lacuna fund Climate datasets ,Climate and Geospatial,Lacuna Fund,Africa-wide,Mixed Formats,Open Access (CC BY 4.0),https://lacunafund.org/datasets/climate/,Climate datasets ,2024,referes to links 
Ethiopia Subnational Rainfall Estimates,Climate and Geospatial,CHIRPS / UN OCHA / HDX,Ethiopia,Tabular,Open Access (CC BY 4.0),https://data.humdata.org/dataset/eth-rainfall-subnational,"Drought monitoring, early warning systems, agricultural planning",2025,Interpolated data; resolution may vary by region
OpenStreetMap (OSM) for African Cities,Climate and Geospatial,OpenStreetMap Community (Crowdsourced),Africa-wide,Tabular,Open (Open Data Commons Open Database License - ODbL),https://download.geofabrik.de/africa.html,"Route optimization, urban planning, logistics, mapping underserved areas, service delivery planning.",2025,Data completeness and accuracy vary greatly by region and level of community engagement.
"BioSCape: BioSoundSCape Acoustic Recordings, South Africa, 2023",Climate and Geospatial,NASA,South Africa,Geospatial,Open Access (Public Domain),https://www.earthdata.nasa.gov/es/data/catalog/ornl-cloud-acoustic-data-cape-floristic-2372-1,"Correlate ground-level bioacoustic diversity with satellite/airborne remote sensing data
- Monitor ecosystem health and biodiversity change over time",2023,"Large data volume (~100,000+ audio files) — requires significant storage and processing"
